route,weight_cur,weight_prev,weight_xl,weight_lp,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,psnr,ssim,edge,lpips,proxy,metrics_csv
wcur0p25_wprev0p2_wxl0p45_wlp0p1_raw,0.25,0.2,0.45,0.1,,0.0,0.0,1.0,hard,37.55515642778842,0.9987004697322845,0.9882715344429016,0.026880481746047735,45.47014135157583,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p45_wlp0p1_raw.csv
wcur0p35_wprev0p1_wxl0p475_wlp0p075_raw,0.35,0.1,0.475,0.075,,0.0,0.0,1.0,hard,37.5547160208109,0.9986999034881592,0.9882792532444,0.026876299642026424,45.4697213489446,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p475_wlp0p075_raw.csv
wcur0p3_wprev0p15_wxl0p45_wlp0p1_raw,0.3,0.15,0.45,0.1,,0.0,0.0,1.0,hard,37.55413221494616,0.9987000375986099,0.9882703870534897,0.02688697027042508,45.46909927410395,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p45_wlp0p1_raw.csv
wcur0p35_wprev0p1_wxl0p45_wlp0p1_raw,0.35,0.1,0.45,0.1,,0.0,0.0,1.0,hard,37.55287815090205,0.998699963092804,0.9882692843675613,0.02689410629682243,45.467828285600355,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p45_wlp0p1_raw.csv
wcur0p25_wprev0p2_wxl0p4_wlp0p15_raw,0.25,0.2,0.4,0.15,,0.0,0.0,1.0,hard,37.55077618037185,0.9987007528543472,0.9882499128580093,0.02691371412947774,45.465653094954995,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p4_wlp0p15_raw.csv
wcur0p3_wprev0p15_wxl0p4_wlp0p15_raw,0.3,0.15,0.4,0.15,,0.0,0.0,1.0,hard,37.54974517714115,0.9987005591392517,0.9882488548755646,0.026919346768409014,45.46460754819097,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p4_wlp0p15_raw.csv
wcur0p35_wprev0p1_wxl0p4_wlp0p15_raw,0.35,0.1,0.4,0.15,,0.0,0.0,1.0,hard,37.54848476741408,0.9986996054649353,0.9882476478815079,0.026925649028271437,45.463326397910166,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p4_wlp0p15_raw.csv
wcur0p25_wprev0p2_wxl0p35_wlp0p2_raw,0.25,0.2,0.35,0.2,,0.0,0.0,1.0,hard,37.5454394088333,0.9987010508775711,0.9882260710000992,0.026938857045024633,45.46022014200888,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p2_wxl0p35_wlp0p2_raw.csv
wcur0p3_wprev0p15_wxl0p35_wlp0p2_raw,0.3,0.15,0.35,0.2,,0.0,0.0,1.0,hard,37.54440273520381,0.9987005591392517,0.9882249236106873,0.02694406546652317,45.45916780632765,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p15_wxl0p35_wlp0p2_raw.csv
wcur0p35_wprev0p1_wxl0p35_wlp0p2_raw,0.35,0.1,0.35,0.2,,0.0,0.0,1.0,hard,37.5431364624815,0.9987001419067383,0.9882237464189529,0.026947858277708292,45.45788909020442,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p35_wprev0p1_wxl0p35_wlp0p2_raw.csv
wcur0p25_wprev0p15_wxl0p6_wlp0_raw,0.25,0.15,0.6,0.0,,0.0,0.0,1.0,hard,37.53548970527873,0.9986940920352936,0.9882487654685974,0.026877194875851274,45.45039739867598,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p6_wlp0_raw.csv
wcur0p25_wprev0p15_wxl0p575_wlp0p025_raw,0.25,0.15,0.575,0.025,,0.0,0.0,1.0,hard,37.53458977501661,0.9986943751573563,0.9882408529520035,0.026902281679213047,45.44943316850633,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p25_wprev0p15_wxl0p575_wlp0p025_raw.csv
wcur0p3_wprev0p1_wxl0p6_wlp0_raw,0.3,0.1,0.6,0.0,,0.0,0.0,1.0,hard,37.534348146183675,0.9986932724714279,0.9882474988698959,0.026885322062298656,45.44923213462744,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p6_wlp0_raw.csv
wcur0p3_wprev0p1_wxl0p575_wlp0p025_raw,0.3,0.1,0.575,0.025,,0.0,0.0,1.0,hard,37.533444542167445,0.9986940622329712,0.9882396310567856,0.026909110136330128,45.44826995740618,experiments/hat_hat_sstxl_sstlargeplus_tta_smoke4_20260512/wcur0p3_wprev0p1_wxl0p575_wlp0p025_raw.csv
