route,weight_hat_a,weight_hat_b,weight_mamba,interp,blend_interp,sharpen_amount,sharpen_radius,clip_mode,mamba_mix_mode,mamba_residual_sigma,tone_gamma,tone_gain,tone_bias,psnr,ssim,edge,lpips,proxy,metrics_csv
wa0p6_wb0p35_wm0p05_raw_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.0,0.001,37.40855803693697,0.9984425455331802,0.988279789686203,0.026456881780177355,45.3228591259481,
wa0p6_wb0p35_wm0p05_raw_g1p005_k0p998_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,0.998,0.001,37.20704323232718,0.9984485357999802,0.9882755279541016,0.02648865059018135,45.1213082018549,
wa0p55_wb0p35_wm0p1_raw_g1p005_k0p998_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.005,0.998,0.001,37.202659154195466,0.9984573572874069,0.9882808476686478,0.02700461819767952,45.115955756861844,
wa0p55_wb0p35_wm0p1_raw_g0p995_k1p002_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.002,-0.001,37.18368795947199,0.998700350522995,0.9882844984531403,0.026961995754390955,45.09853506800746,
wa0p6_wb0p35_wm0p05_raw_g0p995_k1p002_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.002,-0.001,37.17898778357074,0.998696506023407,0.9882790297269821,0.026444183895364404,45.09483651137442,
wa0p6_wb0p35_wm0p05_raw_g1p005,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.0,0.0,37.11852141068071,0.9986845701932907,0.988275334239006,0.026474121026694775,45.03423125826507,
wa0p55_wb0p35_wm0p1_raw_g1p005,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.0,0.0,37.114071199791155,0.9986893236637115,0.9882807731628418,0.026989434845745564,45.02878981840762,
wa0p55_wb0p35_wm0p1_raw_g0p995,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.0,0.0,37.10405414132418,0.998694434762001,0.9882842600345612,0.026992488652467728,45.01880429266037,
wa0p6_wb0p35_wm0p05_raw_g0p995,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,0.995,1.0,0.0,37.09968891219636,0.9986882656812668,0.9882784187793732,0.026475684717297554,45.015423974408115,
wa0p6_wb0p35_wm0p05_raw_k0p998_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,-0.001,37.0829502808254,0.9986842125654221,0.9882788509130478,0.02650002669543028,44.99861320465317,
wa0p55_wb0p35_wm0p1_raw_k0p998_b-0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,0.998,-0.001,37.078151480741816,0.9986881017684937,0.9882841855287552,0.02701917802914977,44.99281010635199,
wa0p55_wb0p35_wm0p1_raw_k1p002_b0p001,0.55,0.35,0.1,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,0.001,37.07034889069528,0.9984396547079086,0.9882838129997253,0.02695099450647831,44.983652455929224,
wa0p6_wb0p35_wm0p05_raw_k1p002_b0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.0,1.002,0.001,37.0658883659048,0.9984301030635834,0.9882787466049194,0.026433902559801936,44.98015867237653,
wa0p6_wb0p35_wm0p05_raw_g1p005_k1p002_b-0p001,0.6,0.35,0.05,,0.0,0.0,1.0,hard,blend,0.0,1.005,1.002,-0.001,37.00950193637456,0.9986691027879715,0.9882733970880508,0.026451886631548405,44.925159574015396,
